timestamp,sourceIp,destinationIp,sourcePort,destinationPort,protocol,statusCode,dataSize
2026-04-27T21:40:01,172.16.0.19,10.0.1.5,54401,3389,TCP,200,780
2026-04-27T21:40:08,172.16.0.88,10.0.1.12,61001,22,TCP,401,290
2026-04-27T21:40:14,172.16.0.88,10.0.1.12,61002,22,TCP,401,294
2026-04-27T21:40:20,172.16.0.88,10.0.1.12,61003,22,TCP,401,288
2026-04-27T21:40:26,172.16.0.88,10.0.1.12,61004,22,TCP,401,296
2026-04-27T21:40:32,172.16.0.88,10.0.1.12,61005,22,TCP,401,292
2026-04-27T21:40:38,172.16.0.88,10.0.1.12,61006,22,TCP,401,291
2026-04-27T21:41:02,172.16.0.45,10.0.1.30,47010,20,TCP,200,620
2026-04-27T21:41:04,172.16.0.45,10.0.1.30,47011,21,TCP,200,635
2026-04-27T21:41:06,172.16.0.45,10.0.1.30,47012,22,TCP,200,640
2026-04-27T21:41:08,172.16.0.45,10.0.1.30,47013,23,TCP,200,645
2026-04-27T21:41:10,172.16.0.45,10.0.1.30,47014,24,TCP,200,650
2026-04-27T21:41:12,172.16.0.45,10.0.1.30,47015,25,TCP,200,655
2026-04-27T21:41:14,172.16.0.45,10.0.1.30,47016,26,TCP,200,660
2026-04-27T21:41:16,172.16.0.45,10.0.1.30,47017,27,TCP,200,662
2026-04-27T21:41:18,172.16.0.45,10.0.1.30,47018,28,TCP,200,665
2026-04-27T21:41:20,172.16.0.45,10.0.1.30,47019,29,TCP,200,668
2026-04-27T21:42:00,172.16.0.61,10.0.1.50,53200,443,TCP,200,1800
2026-04-27T21:42:01,172.16.0.61,10.0.1.50,53201,443,TCP,200,1810
2026-04-27T21:42:02,172.16.0.61,10.0.1.50,53202,443,TCP,200,1820
2026-04-27T21:42:03,172.16.0.61,10.0.1.50,53203,443,TCP,200,1830
2026-04-27T21:42:04,172.16.0.61,10.0.1.50,53204,443,TCP,200,1840
2026-04-27T21:42:05,172.16.0.61,10.0.1.50,53205,443,TCP,200,1850
2026-04-27T21:42:06,172.16.0.61,10.0.1.50,53206,443,TCP,200,1860
2026-04-27T21:42:07,172.16.0.61,10.0.1.50,53207,443,TCP,200,1870
2026-04-27T21:42:08,172.16.0.61,10.0.1.50,53208,443,TCP,200,1880
2026-04-27T21:42:09,172.16.0.61,10.0.1.50,53209,443,TCP,200,1890
2026-04-27T21:42:10,172.16.0.61,10.0.1.50,53210,443,TCP,200,1900
2026-04-27T21:42:11,172.16.0.61,10.0.1.50,53211,443,TCP,200,1910
