timestamp,sourceIp,destinationIp,sourcePort,destinationPort,protocol,statusCode,dataSize
2026-04-27T09:15:01,192.168.1.12,10.0.0.10,52314,443,TCP,200,1450
2026-04-27T09:15:09,192.168.1.77,10.0.0.15,60122,22,TCP,401,310
2026-04-27T09:15:17,192.168.1.77,10.0.0.15,60123,22,TCP,401,308
2026-04-27T09:15:23,192.168.1.77,10.0.0.15,60124,22,TCP,401,315
2026-04-27T09:15:29,192.168.1.77,10.0.0.15,60125,22,TCP,401,300
2026-04-27T09:15:35,192.168.1.77,10.0.0.15,60126,22,TCP,401,299
2026-04-27T09:16:02,192.168.1.34,10.0.0.20,43010,80,TCP,200,890
2026-04-27T09:16:07,192.168.1.34,10.0.0.21,43011,81,TCP,200,910
2026-04-27T09:16:12,192.168.1.34,10.0.0.22,43012,82,TCP,200,905
2026-04-27T09:16:17,192.168.1.34,10.0.0.23,43013,83,TCP,200,899
2026-04-27T09:16:22,192.168.1.34,10.0.0.24,43014,84,TCP,200,915
2026-04-27T09:16:27,192.168.1.34,10.0.0.25,43015,85,TCP,200,918
2026-04-27T09:16:32,192.168.1.34,10.0.0.26,43016,86,TCP,200,922
2026-04-27T09:16:37,192.168.1.34,10.0.0.27,43017,87,TCP,200,924
2026-04-27T09:16:42,192.168.1.34,10.0.0.28,43018,88,TCP,200,930
2026-04-27T09:16:47,192.168.1.34,10.0.0.29,43019,89,TCP,200,928
2026-04-27T09:17:00,192.168.1.55,10.0.0.40,51900,443,TCP,200,1500
2026-04-27T09:17:05,192.168.1.55,10.0.0.40,51901,443,TCP,200,1520
2026-04-27T09:17:10,192.168.1.55,10.0.0.40,51902,443,TCP,200,1490
2026-04-27T09:17:15,192.168.1.55,10.0.0.40,51903,443,TCP,200,1510
2026-04-27T09:17:20,192.168.1.55,10.0.0.40,51904,443,TCP,200,1485
2026-04-27T09:17:25,192.168.1.55,10.0.0.40,51905,443,TCP,200,1525
2026-04-27T09:17:30,192.168.1.55,10.0.0.40,51906,443,TCP,200,1530
2026-04-27T09:17:35,192.168.1.55,10.0.0.40,51907,443,TCP,200,1495
2026-04-27T09:17:40,192.168.1.55,10.0.0.40,51908,443,TCP,200,1518
2026-04-27T09:17:45,192.168.1.55,10.0.0.40,51909,443,TCP,200,1540
